ContactID,ObjectType,StartTime,EndTime,Duration,MaxForce,AverageForce,ContactPointX,ContactPointY,ContactPointZ
0,box,14.46522,14.94865,0.4834328,0.8994979,0.5892502,1.815749,-46.35802,-32.49384
1,box,15.16549,15.20702,0.04153061,0.3010989,0.1757372,5.283729,-45.5508,-24.03886
2,box,17.74892,17.80706,0.05814362,0.01836705,0.01451935,88.41888,-39.3861,49.97193
3,box,17.86517,18.00681,0.1416378,0.08857052,0.05380498,94.24113,-39.5313,46.9353
4,box,18.04872,18.44857,0.3998547,0.4311528,0.3293548,99.37284,-27.88078,34.0584
5,box,18.46526,19.18173,0.716465,0.3456362,0.2209772,108.1828,-25.50565,30.16911
6,box,20.0486,20.60716,0.5585575,0.1031039,0.06566966,110.4854,-20.11481,23.76005
7,box,20.80688,20.82355,0.01667213,0.01047705,0.01047705,114.37,-21.20271,21.06398
8,box,23.68163,23.98164,0.3000031,0.4429245,0.2663915,2.186152,-10.66378,20.48943
9,box,24.00701,25.34849,1.34148,0.4839741,0.3185803,-21.28963,-7.178251,18.48347
10,box,28.48166,28.90664,0.4249878,0.9955876,0.6953498,-101.9463,-0.6062483,24.62843
11,box,28.92318,29.20662,0.2834435,0.9137649,0.6284751,-87.48523,-5.61098,16.0119
12,box,30.72328,31.02312,0.299839,0.3294175,0.1876643,14.82933,47.6094,24.09369
13,box,32.44839,33.14839,0.6999969,0.1285667,0.08280363,119.001,13.05539,36.8345
14,box,34.24835,34.70662,0.4582672,0.4734581,0.2146649,127.2094,3.295408,27.14882
15,box,35.7651,36.26503,0.4999313,0.5890171,0.3307254,-72.66785,17.90172,23.64872
16,box,37.70659,38.12326,0.4166718,0.349955,0.2554702,100.2847,-6.158254,31.34983
17,box,38.38984,38.46481,0.07496643,0.4103171,0.3916813,105.5941,-2.475175,24.96508
18,box,40.04803,40.06471,0.01667786,0.1459738,0.1459738,11.39331,4.639622,21.71851
19,box,40.4229,40.44845,0.02555084,0.1838515,0.1838515,4.530332,8.59698,20.05664
20,box,43.30646,44.10645,0.7999878,0.2156953,0.1175031,118.6171,13.53997,32.53474
21,box,44.76463,44.78995,0.02532196,0.02494978,0.02494978,-68.206,15.18188,23.00913
22,box,46.42304,46.86459,0.4415436,0.5201156,0.3731264,102.4326,-13.49741,29.94638
23,box,49.04782,49.10609,0.05826569,0.1189745,0.07648263,98.46024,-4.678964,21.71081
24,box,49.76434,49.82285,0.0585022,0.1478999,0.08542535,-55.95655,11.70061,16.36953
25,box,49.94818,50.94803,0.9998474,0.1258022,0.08531971,-52.01756,7.168415,16.33317
