Timestamp,AverageLatency,MessageRate
0.093513,0.000000,0.00
0.145509,0.000000,0.00
0.300233,0.000000,0.00
0.415116,0.000000,0.00
0.527564,0.000000,0.00
0.578561,0.000000,0.00
0.634262,0.000000,0.00
0.702867,0.000000,0.00
0.753153,0.000000,0.00
0.809408,0.000000,0.00
0.881929,0.000000,0.00
0.934151,0.000000,0.00
0.992408,0.000000,0.00
1.050723,0.000000,0.00
1.101106,0.000000,0.00
1.209387,0.000000,0.00
1.267457,0.000000,0.00
1.367890,0.000000,0.00
1.426289,0.000000,0.00
1.476352,0.000000,0.00
1.534146,0.000000,0.00
1.584762,0.000000,0.00
1.643065,0.000000,0.00
1.750635,0.000000,0.00
1.809210,0.000000,0.00
1.867469,0.000000,0.00
1.975782,0.000000,0.00
2.033924,0.000000,0.00
2.092532,0.000000,0.00
2.150681,0.000000,0.00
2.209344,0.000000,0.00
2.259438,0.000000,0.00
2.309736,0.000000,0.00
2.367690,0.000000,0.00
2.475806,0.000000,0.00
2.533710,0.000000,0.00
2.584225,0.000000,0.00
2.692328,0.000000,0.00
2.743038,0.000000,0.00
2.800956,0.000000,0.00
2.909110,0.000000,0.00
2.967463,0.000000,0.00
3.020145,0.000000,0.00
3.075605,0.000000,0.00
3.126209,0.000000,0.00
3.233791,0.000000,0.00
3.292438,0.000000,0.00
3.350700,0.000000,0.00
3.401329,0.000000,0.00
3.458903,0.000000,0.00
3.509135,0.000000,0.00
3.567595,0.000000,0.00
3.667788,0.000000,0.00
3.776073,0.000000,0.00
3.826581,0.000000,0.00
3.884620,0.000000,0.00
3.942966,0.000000,0.00
4.000960,0.000000,0.00
4.101226,0.000000,0.00
4.209060,0.000000,0.00
4.267602,0.000000,0.00
4.375633,0.000000,0.00
4.433878,0.000000,0.00
4.492566,0.000000,0.00
4.550585,0.000000,0.00
4.609234,0.000000,0.00
4.667983,0.000000,0.00
4.726696,0.000000,0.00
4.784487,0.000000,0.00
4.842627,0.000000,0.00
4.892766,0.000000,0.00
4.950737,0.000000,0.00
5.009802,0.000000,0.00
5.117339,0.000000,0.00
5.175979,0.000000,0.00
5.234039,0.000000,0.00
5.292592,0.000000,0.00
5.350616,0.000000,0.00
5.409638,0.000000,0.00
5.467341,0.000000,0.00
5.575768,0.000000,0.00
5.633843,0.000000,0.00
5.692474,0.000000,0.00
5.751002,0.000000,0.00
5.809753,0.000000,0.00
5.868118,0.000000,0.00
5.925550,0.000000,0.00
5.976488,0.000000,0.00
6.033312,0.000000,0.00
6.092492,0.000000,0.00
6.149950,0.000000,0.00
6.209383,0.000000,0.00
6.267306,0.000000,0.00
6.367688,0.000000,0.00
6.425884,0.000000,0.00
6.483754,0.000000,0.00
6.584477,0.000000,0.00
6.642574,0.000000,0.00
6.701015,0.000000,0.00
6.758811,0.000000,0.00
6.809404,0.000000,0.00
6.867077,0.000000,0.00
6.967464,0.000000,0.00
7.025977,0.000000,0.00
7.084198,0.000000,0.00
7.142754,0.000000,0.00
7.199792,0.000000,0.00
7.250379,0.000000,0.00
7.301039,0.000000,0.00
7.359092,0.000000,0.00
7.417428,0.000000,0.00
7.475456,0.000000,0.00
7.533113,0.000000,0.00
7.583885,0.000000,0.00
7.633978,0.000000,0.00
7.692179,0.000000,0.00
7.742620,0.000000,0.00
7.799865,0.000000,0.00
7.850253,0.000000,0.00
7.901009,0.000000,0.00
7.958869,0.000000,0.00
8.017713,0.000000,0.00
8.075409,0.000000,0.00
8.125944,0.000000,0.00
8.183699,0.000000,0.00
8.292362,0.000000,0.00
8.350596,0.000000,0.00
8.409406,0.000000,0.00
8.467642,0.000000,0.00
8.525624,0.000000,0.00
8.583421,0.000000,0.00
8.683994,0.000000,0.00
8.792004,0.000000,0.00
8.842442,0.000000,0.00
8.950577,0.000000,0.00
9.009472,0.000000,0.00
9.067371,0.000000,0.00
9.125619,0.000000,0.00
9.233504,0.000000,0.00
9.284645,0.000000,0.00
9.342984,0.000000,0.00
9.400244,0.000000,0.00
9.458597,0.000000,0.00
9.517234,0.000000,0.00
9.575533,0.000000,0.00
9.633379,0.000000,0.00
9.692170,0.000000,0.00
9.742587,0.000000,0.00
9.800057,0.000000,0.00
9.850324,0.000000,0.00
9.909306,0.000000,0.00
9.967458,0.000000,0.00
10.025940,0.000000,0.00
10.083370,0.000000,0.00
10.133720,0.000000,0.00
10.191840,0.000000,0.00
10.242340,0.000000,0.00
10.343230,0.000000,0.00
10.399620,0.000000,0.00
10.450760,0.000000,0.00
10.508940,0.000000,0.00
10.609000,0.000000,0.00
10.659150,0.000000,0.00
10.716990,0.000000,0.00
10.775070,0.000000,0.00
10.833820,0.000000,0.00
10.884350,0.000000,0.00
10.992280,0.000000,0.00
11.050430,0.000000,0.00
11.109190,0.000000,0.00
11.216800,0.000000,0.00
11.275070,0.000000,0.00
11.325750,0.000000,0.00
11.433610,0.000000,0.00
11.492170,0.000000,0.00
11.549790,0.000000,0.00
11.600070,0.000000,0.00
11.650520,0.000000,0.00
11.709240,0.000000,0.00
11.767400,0.000000,0.00
11.825590,0.000000,0.00
11.875610,0.000000,0.00
11.933360,0.000000,0.00
11.984040,0.000000,0.00
12.092250,0.000000,0.00
12.149940,0.000000,0.00
12.208980,0.000000,0.00
12.267040,0.000000,0.00
12.367230,0.000000,0.00
12.417260,0.000000,0.00
12.475080,0.000000,0.00
12.525560,0.000000,0.00
12.625770,0.000000,0.00
12.725810,0.000000,0.00
12.833040,0.000000,0.00
12.884050,0.000000,0.00
12.942850,0.000000,0.00
13.000320,0.000000,0.00
13.059180,0.000000,0.00
13.117170,0.000000,0.00
13.175250,0.000000,0.00
13.225840,0.000000,0.00
13.283520,0.000000,0.00
13.392570,0.000000,0.00
13.450510,0.000000,0.00
13.508960,0.000000,0.00
13.567290,0.000000,0.00
13.625460,0.000000,0.00
13.733260,0.000000,0.00
13.784420,0.000000,0.00
13.842490,0.000000,0.00
13.896960,0.000000,0.00
13.949720,0.000000,0.00
13.999970,0.000000,0.00
14.050210,0.000000,0.00
14.108860,0.000000,0.00
14.167110,0.000000,0.00
14.225220,0.000000,0.00
14.333450,0.000000,0.00
14.383890,0.000000,0.00
14.442690,0.000000,0.00
14.500120,0.000000,0.00
14.558900,0.000000,0.00
14.616980,0.000000,0.00
14.675140,0.000000,0.00
14.733360,0.000000,0.00
14.791810,0.000000,0.00
14.850210,0.000000,0.00
14.908690,0.000000,0.00
14.959270,0.000000,0.00
15.009800,0.000000,0.00
