TaskTime,BoxRotation,RotationError,BoxPosX,BoxPosY,BoxPosZ,BoxAngVelX,BoxAngVelY,BoxAngVelZ,Robot1PosX,Robot1PosY,Robot1PosZ,Robot2PosX,Robot2PosY,Robot2PosZ,Robot1Speed,Robot2Speed,RobotDistanceDiff,HapticPosX,HapticPosY,HapticPosZ,HapticForceX,HapticForceY,HapticForceZ,ForceMagnitude,IsInContact,ContactType,ContactDuration,Phase,CumulativeError,StabilityMetric
26.32035,-3.190125,3.190125,0.2601259,0.1019926,3.689188,-0.01326626,-0.05107678,-0.003114938,0.7862055,0.005293228,3.420747,-0.3010066,0.004866838,3.360709,0.1582432,0.1064226,1.088869,0.2624685,0.1023098,3.663028,2.712158E-08,0.3102347,2.712158E-08,0.3102347,1,box,0.05855942,stable_contact,2.026346,0.03988492
26.34521,-3.253967,3.253967,0.2598461,0.1021029,3.691692,0.02792141,-0.07177597,-0.002587802,0.7861341,0.004841819,3.424106,-0.300783,0.004941374,3.362617,0.1572219,0.0954476,1.088655,0.2621862,0.1022813,3.666135,2.72122E-08,0.3112713,2.72122E-08,0.3112713,1,box,0.08341599,stable_contact,2.027511,0.04016592
26.37047,-3.328247,3.328247,0.2595607,0.1022726,3.694077,0.05097325,-0.06164006,-5.059293E-05,0.7860563,0.004639119,3.426905,-0.3005689,0.005133815,3.364519,0.1382127,0.09580808,1.088415,0.2619027,0.1022548,3.669249,2.662352E-08,0.3045376,2.662352E-08,0.3045376,1,box,0.1086731,stable_contact,2.028744,0.03969889
26.39543,-3.343933,3.343933,0.2591349,0.1025728,3.698122,0.05933286,0.00128904,0.001944292,0.785934,0.004969105,3.431403,-0.3001464,0.005474344,3.368242,0.1066382,0.1002569,1.087915,0.2616195,0.1022405,3.672317,2.301627E-08,0.2632754,2.301627E-08,0.2632754,1,box,0.1336365,stable_contact,2.029989,0.03561625
26.4203,-3.193939,3.193939,0.25925,0.1025261,3.699684,-0.1962507,0.0967746,-0.01725382,0.7859333,0.004984647,3.431482,-0.2998896,0.005584516,3.37051,0.02130478,0.1189303,1.087533,0.2613226,0.1022453,3.675482,1.977643E-08,0.226216,1.977643E-08,0.226216,1,box,0.1585045,stable_contact,2.03109,0.03149365
26.44511,-3.06311,3.06311,0.2592167,0.1026575,3.700981,-0.2386766,0.103724,-0.01780128,0.7859374,0.004848011,3.43135,-0.2996177,0.005613178,3.372959,0.03146365,0.1277418,1.087125,0.2610455,0.1022632,3.678477,1.737584E-08,0.1987564,1.737584E-08,0.1987564,1,box,0.1833153,stable_contact,2.032066,0.02838428
26.46615,-2.920715,2.920715,0.2598659,0.1028844,3.702475,-0.1419279,0.1769716,-0.006630557,0.785949,0.004742943,3.431069,-0.2992895,0.005542219,3.375911,0.02297251,0.1450659,1.08664,0.2608415,0.102287,3.680827,-0.02982325,-0.06713062,0.498982,0.5043599,1,box,0.2043533,stable_contact,2.032905,0.05854909
26.48675,-2.672485,2.672485,0.2608288,0.1027208,3.703991,0.002371773,0.2597252,0.002976806,0.7859886,0.004616499,3.430532,-0.2988456,0.005327545,3.379789,0.01788889,0.1809163,1.08602,0.2606599,0.1023249,3.683312,-0.02971418,-0.05115401,0.5191296,0.5224894,1,box,0.2249527,stable_contact,2.033509,0.05967252
26.51189,-2.488495,2.488495,0.2627434,0.1025385,3.70556,-0.3255232,0.1704008,-0.00897052,0.7860463,0.004477255,3.429816,-0.2984226,0.004995383,3.383448,0.02376488,0.1750637,1.08546,0.2605533,0.1023694,3.686062,-0.02884147,-0.04052662,0.5240821,0.5264374,1,box,0.2500992,stable_contact,2.033937,0.05955622
26.53703,-1.943237,1.943237,0.2656012,0.1026295,3.707648,0.1858053,0.2758684,0.00884947,0.7858819,0.004277349,3.427967,-0.2975941,0.00490845,3.390441,0.03828753,0.1699802,1.084126,0.260616,0.102404,3.68871,-0.02930858,-0.03506392,0.6049442,0.6066679,1,box,0.2752304,stable_contact,2.033852,0.06606467
26.56203,-1.632141,1.632141,0.2667278,0.1024714,3.709548,-0.1760009,0.2876603,-0.006301647,0.7859179,0.004317716,3.427322,-0.2972558,0.005178683,3.393529,0.02176614,0.1626991,1.083701,0.2608707,0.1024316,3.691194,-0.02839965,-0.03198125,0.6262478,0.6277067,1,box,0.3002396,stable_contact,2.033474,0.0673044
26.58731,-1.288727,1.288727,0.2688673,0.1022582,3.712984,-0.09568102,0.3395052,0.0003771153,0.7859522,0.004363142,3.426462,-0.2969113,0.005398974,3.396657,0.02017372,0.1649982,1.083274,0.2612994,0.1024536,3.693606,-0.02481087,-0.02964861,0.6016483,0.6028892,1,box,0.3255119,stable_contact,2.032774,0.06386872
26.61209,-0.8770447,0.8770447,0.2707662,0.1022264,3.715831,0.03073225,0.3739881,0.0007090085,0.7860009,0.004500918,3.425477,-0.2965382,0.005500123,3.400008,0.02220665,0.1714077,1.082839,0.2619261,0.1024588,3.69599,-0.0212171,-0.03995519,0.586633,0.5883748,1,box,0.350296,stable_contact,2.031689,0.06127372
26.63702,-0.2072449,0.2072449,0.2740492,0.1026483,3.720349,0.1477824,0.3213724,-0.0008730588,0.7858479,0.004710197,3.424409,-0.2956832,0.005210809,3.407518,0.01000336,0.1896112,1.081663,0.2627602,0.1024534,3.698447,-0.01389195,-0.02823803,0.5522972,0.553193,1,box,0.3752289,stable_contact,2.029977,0.05589498
26.66199,0.07066493,0.07066493,0.2756759,0.1027554,3.723004,-0.06301306,0.2863228,0.001823189,0.7858795,0.004820012,3.423957,-0.2952447,0.00496421,3.411199,0.008798308,0.1779888,1.0812,0.263768,0.1024546,3.700929,-0.009909282,-0.02881616,0.5436323,0.5444857,1,box,0.4001999,stable_contact,2.028141,0.05464486
26.68734,0.3600789,0.3600789,0.277457,0.1028786,3.725343,0.1610202,0.2817812,0.0009761482,0.7858123,0.004868791,3.423842,-0.2948198,0.004935913,3.414661,0.01011296,0.1753774,1.080671,0.2649372,0.102468,3.703478,-0.006686024,-0.02787041,0.5135041,0.5143034,1,box,0.4255447,stable_contact,2.026579,0.05243056
26.71172,0.6533471,0.6533471,0.2793078,0.1029335,3.727769,0.1250645,0.2901784,-0.003745632,0.7858812,0.004960388,3.423822,-0.2944033,0.004871346,3.418156,0.01174104,0.178027,1.080299,0.2662667,0.1024959,3.706105,-0.003331005,-0.03081603,0.478381,0.4793841,1,box,0.4499283,stable_contact,2.025295,0.04975327
26.73697,0.9499867,0.9499867,0.2815887,0.1029618,3.731203,-0.004271687,0.1267655,-0.00113325,0.785736,0.005177341,3.424037,-0.2937091,0.005281717,3.424321,0.02850528,0.161579,1.079445,0.2677086,0.1025339,3.708746,0.0009284173,-0.02232977,0.3600671,0.3607601,1,box,0.475174,stable_contact,2.024289,0.03871486
26.76192,0.9647698,0.9647698,0.282171,0.1027924,3.731621,-0.1038589,0.01144231,0.000769521,0.7857748,0.005250938,3.424141,-0.2933574,0.005481549,3.427499,0.02660236,0.1668406,1.079137,0.2692669,0.1025777,3.711452,0,0,0,0,0,,0,initialization,2.0233,0.002679916
26.78675,0.9716322,0.9716322,0.2821031,0.1022894,3.73151,-0.07571673,0.003357197,0.0004111395,0.7857811,0.005352139,3.424395,-0.2929676,0.005545788,3.430939,0.02346556,0.1744053,1.078769,0.270823,0.1026144,3.71405,0,0,0,0,0,,0,initialization,2.022319,0.002698978
26.81209,0.9661204,0.9661204,0.2821283,0.1018376,3.73162,-0.02452496,-0.0004914727,0.000642894,0.7858032,0.005387925,3.424847,-0.292543,0.005436696,3.434642,0.02873226,0.1837171,1.078391,0.2723168,0.1026199,3.716478,1.782604E-09,0.02039061,1.782604E-09,0.02039061,1,box,0.01654816,stable_contact,2.021335,0.004722728
26.83715,0.9280636,0.9280636,0.2822686,0.1012664,3.733114,0.235761,-0.0193608,-0.004012939,0.7859877,0.005419016,3.42839,-0.2916507,0.004932277,3.442195,0.09987311,0.1773041,1.077727,0.273691,0.1025816,3.718682,1.155175E-08,0.1321366,1.155175E-08,0.1321366,1,box,0.0416069,stable_contact,2.020317,0.01579162
26.86205,0.889777,0.889777,0.2829435,0.1013543,3.734931,0.2477774,-0.004279872,0.003905384,0.7861235,0.005297534,3.43091,-0.2912135,0.004905127,3.445657,0.1212019,0.1734907,1.077438,0.2749361,0.1024989,3.720702,1.126737E-08,0.1288837,1.126737E-08,0.1288837,1,box,0.06650925,stable_contact,2.019265,0.01535997
26.88712,0.8718256,0.8718256,0.2840042,0.1014422,3.737385,0.2875758,0.003261004,0.006311155,0.7863142,0.004976034,3.433791,-0.2908192,0.004838333,3.44903,0.1363096,0.1652316,1.077241,0.2760897,0.1023893,3.722621,8.804145E-09,0.1007077,8.804145E-09,0.1007077,1,box,0.09157181,stable_contact,2.018199,0.0124925
26.91183,0.8568606,0.8568606,0.2863398,0.1018657,3.740637,0.2391063,-0.0005472542,0.001206519,0.7863958,0.004833892,3.436807,-0.2905027,0.005090334,3.452005,0.1423841,0.1540357,1.077006,0.2771835,0.102282,3.724504,6.641059E-09,0.07596486,6.641059E-09,0.07596486,1,box,0.1162834,stable_contact,2.017121,0.009976654
26.93693,0.8502921,0.8502921,0.2885868,0.1022406,3.745517,0.1834301,0.007039942,0.005445169,0.7865835,0.004827708,3.44119,-0.2899704,0.005420044,3.456857,0.1102826,0.1257717,1.076668,0.2782904,0.1021986,3.726431,0,0,0,0,0,,0,initialization,2.016038,0.002361923
26.96207,0.859911,0.859911,0.2894629,0.1023446,3.748063,0.09883733,0.01215254,0.004660804,0.7866709,0.004753284,3.44318,-0.2896972,0.005476892,3.459367,0.1073418,0.1281676,1.07649,0.279458,0.102144,3.728499,0,0,0,0,0,,0,initialization,2.014967,0.002388642
26.98705,0.891467,0.891467,0.2902254,0.1024574,3.750377,0.05593682,0.01741214,0.004419349,0.7867876,0.004853494,3.445012,-0.2894039,0.005479142,3.462067,0.09715259,0.1347535,1.076327,0.2806515,0.1021187,3.730685,0,0,0,0,0,,0,initialization,2.013927,0.002476297
27.01183,0.9473525,0.9473525,0.2908408,0.1023934,3.752557,-0.005240742,0.04393355,-0.0006121616,0.7869009,0.005025268,3.446778,-0.2890653,0.005296499,3.464881,0.09100401,0.1388643,1.076118,0.2818218,0.1021183,3.732937,0,0,0,0,0,,0,initialization,2.01294,0.002631535
27.03705,1.04568,1.04568,0.2920115,0.102286,3.757092,-0.0001417845,0.01821514,0.003457454,0.7871295,0.005383551,3.450436,-0.2883252,0.005057253,3.470746,0.09889356,0.1383114,1.075647,0.2830078,0.1021327,3.735346,0,0,0,0,0,,0,initialization,2.012046,0.002904667
27.06206,1.081014,1.081014,0.2925126,0.1025099,3.759328,0.05585698,0.01994258,0.003739341,0.7872508,0.005477063,3.452406,-0.2880027,0.005104735,3.47322,0.1009945,0.1330799,1.075455,0.284115,0.1021522,3.737735,0,0,0,0,0,,0,initialization,2.011186,0.003002816
27.08692,1.104791,1.104791,0.2932475,0.1026109,3.76191,0.01811016,0.01927125,0.004208792,0.7873782,0.005535185,3.454437,-0.2876636,0.005127862,3.475806,0.1065179,0.1351051,1.075254,0.2852186,0.1021775,3.740265,0,0,0,0,0,,0,initialization,2.01035,0.003068865
27.11172,1.138475,1.138475,0.2938041,0.102286,3.764123,0.05240137,0.01453246,0.00109448,0.7875226,0.005502366,3.456759,-0.2872662,0.005043104,3.478864,0.111312,0.145003,1.075016,0.2862537,0.1022083,3.742797,0,0,0,0,0,,0,initialization,2.009546,0.00316243
27.13697,1.146861,1.146861,0.2950505,0.1022727,3.769012,0.03078653,0.003472138,0.001854331,0.7878211,0.005266458,3.461648,-0.2866125,0.005216785,3.483708,0.1219045,0.1261593,1.07466,0.2872804,0.1022344,3.745459,0,0,0,0,0,,0,initialization,2.008752,0.003185724
27.16196,1.151292,1.151292,0.2955276,0.1022955,3.771489,0.01252508,0.005399576,0.00551395,0.7880036,0.004999653,3.464589,-0.2863199,0.005314022,3.485996,0.1310798,0.1261988,1.074537,0.2882533,0.1022554,3.748127,0,0,0,0,0,,0,initialization,2.007963,0.003198033
27.18684,1.154335,1.154335,0.2961424,0.1023528,3.774214,0.01429452,0.00875039,0.003089845,0.7881323,0.004723251,3.466886,-0.2859896,0.005355708,3.488536,0.1198924,0.1312661,1.07434,0.2891968,0.10227,3.750858,0,0,0,0,0,,0,initialization,2.007179,0.003206488
27.21206,1.181118,1.181118,0.2967718,0.1021663,3.776774,0.04879466,0.01212968,0.0006613233,0.7882822,0.004710287,3.469493,-0.2856227,0.005348928,3.491246,0.1194621,0.1371485,1.074125,0.2900997,0.1022799,3.753628,0,0,0,0,0,,0,initialization,2.00642,0.003280883
27.23669,1.235763,1.235763,0.2978716,0.1019914,3.781468,0.03987332,0.01635573,0.004522741,0.7885858,0.004705325,3.474089,-0.2848718,0.005028494,3.496773,0.1049468,0.1293374,1.073697,0.2910013,0.1022792,3.756532,0,0,0,0,0,,0,initialization,2.005713,0.003432676
27.26205,1.26262,1.26262,0.2981817,0.1022896,3.783473,0.03524807,0.01554552,0.004776212,0.7887067,0.004957363,3.475786,-0.2845494,0.005084559,3.499216,0.09973022,0.1240032,1.073512,0.2918511,0.1022659,3.759386,0,0,0,0,0,,0,initialization,2.005032,0.003507278
27.28661,1.290814,1.290814,0.2987888,0.1024961,3.785913,0.03193064,0.01874081,0.003054942,0.788827,0.005184636,3.477452,-0.2842264,0.005188972,3.501583,0.09749355,0.1274236,1.073325,0.2926787,0.1022529,3.762284,0,0,0,0,0,,0,initialization,2.004378,0.003585595
27.31194,1.323127,1.323127,0.2992235,0.1025031,3.787983,0.04660297,0.01622862,0.001738305,0.7889682,0.005359799,3.479409,-0.2838706,0.005250916,3.50419,0.1005814,0.132201,1.073125,0.2934765,0.102255,3.765189,0,0,0,0,0,,0,initialization,2.003755,0.003675352
27.33706,1.378449,1.378449,0.3005277,0.1025859,3.792861,-0.006850164,0.01417351,0.004173451,0.7892619,0.005584329,3.483449,-0.2831609,0.005231619,3.509467,0.1087161,0.1339666,1.072738,0.2942506,0.1022685,3.7681,0,0,0,0,0,,0,initialization,2.003183,0.003829024
27.36197,1.381685,1.381685,0.3011948,0.1023107,3.795249,0.05282318,0.007615625,-0.0003529144,0.7894151,0.005607985,3.485632,-0.282811,0.005321614,3.512228,0.1126262,0.1318458,1.072556,0.2950067,0.1022906,3.771002,0,0,0,0,0,,0,initialization,2.002615,0.003838013
