Timestamp,AverageLatency,MessageRate
0.088973,0.000000,0.00
0.139727,0.000000,0.00
0.192998,0.000000,0.00
0.243066,0.000000,0.00
0.302075,0.000000,0.00
0.355585,0.000000,0.00
0.409856,0.000000,0.00
0.465722,0.000000,0.00
0.521178,0.000000,0.00
0.579644,0.000000,0.00
0.633712,0.000000,0.00
0.691467,0.000000,0.00
0.741822,0.000000,0.00
0.792654,0.000000,0.00
0.850618,0.000000,0.00
0.909338,0.000000,0.00
0.967659,0.000000,0.00
1.025723,0.000000,0.00
1.084037,0.000000,0.00
1.186101,0.000000,0.00
1.242130,0.000000,0.00
1.292636,0.000000,0.00
1.350874,0.000000,0.00
1.409404,0.000000,0.00
1.467484,0.000000,0.00
1.575091,0.000000,0.00
1.625669,0.000000,0.00
1.684025,0.000000,0.00
1.734243,0.000000,0.00
1.793410,0.000000,0.00
1.850464,0.000000,0.00
1.902891,0.000000,0.00
1.961207,0.000000,0.00
2.011643,0.000000,0.00
2.062155,0.000000,0.00
2.119559,0.000000,0.00
2.175692,0.000000,0.00
2.230205,0.000000,0.00
2.287949,0.000000,0.00
2.342016,0.000000,0.00
2.442456,0.000000,0.00
2.492677,0.000000,0.00
2.543546,0.000000,0.00
2.602680,0.000000,0.00
2.659667,0.000000,0.00
2.717497,0.000000,0.00
2.889877,0.000000,0.00
