ContactID,ObjectType,StartTime,EndTime,Duration,MaxForce,AverageForce,ContactPointX,ContactPointY,ContactPointZ
0,box,0,1.226678,1.226678,0.2497516,0.1063112,137.8328,16.40243,27.13035
1,box,5.067953,5.168104,0.1001511,0.03680494,0.02543922,113.0603,17.6877,29.36932
2,box,5.184856,5.768156,0.5832996,0.1538863,0.09740525,115.1415,16.69959,27.57982
3,box,5.78471,6.184896,0.4001865,0.07547691,0.04124654,118.0465,12.45321,24.59238
4,box,6.243202,6.626703,0.3835011,0.06824649,0.03877133,118.4746,12.1969,23.70953
5,box,6.668129,6.684877,0.01674843,0.01481296,0.01481296,121.4262,13.2344,22.31598
6,box,6.709927,6.72665,0.01672363,0.01066751,0.01066751,121.8476,13.6422,22.20326
7,box,6.743286,6.909916,0.1666298,0.03629503,0.02815979,122.2811,14.0566,22.25382
8,box,8.909901,8.943096,0.0331955,0.02276008,0.01720839,134.2278,5.81236,22.65425
9,box,11.31015,11.82656,0.5164165,0.06836769,0.03507863,135.2883,9.493337,23.1235
10,box,14.44297,14.96802,0.5250473,0.1803517,0.0944365,135.3271,5.468625,27.34591
11,box,21.2845,21.30956,0.02505112,0.01461207,0.01461207,133.8011,4.859108,25.53171
12,box,21.74296,22.3429,0.5999374,0.09201944,0.05182105,135.0842,6.047906,24.02872
