Timestamp,AverageLatency,MessageRate
0.093328,0.000000,0.00
0.151340,0.000000,0.00
0.210235,0.000000,0.00
0.268493,0.000000,0.00
0.376550,0.000000,0.00
0.434428,0.000000,0.00
0.485270,0.000000,0.00
0.543413,0.000000,0.00
0.644968,0.000000,0.00
0.703254,0.000000,0.00
0.759986,0.000000,0.00
0.817917,0.000000,0.00
0.868331,0.000000,0.00
0.971979,0.000000,0.00
1.025122,0.000000,0.00
1.076499,0.000000,0.00
1.127184,0.000000,0.00
1.185192,0.000000,0.00
1.243104,0.000000,0.00
1.293151,0.000000,0.00
1.350740,0.000000,0.00
1.401344,0.000000,0.00
1.462359,0.000000,0.00
1.517853,0.000000,0.00
1.576425,0.000000,0.00
1.626804,0.000000,0.00
1.679755,0.000000,0.00
1.734484,0.000000,0.00
1.793020,0.000000,0.00
1.843423,0.000000,0.00
1.951073,0.000000,0.00
2.009864,0.000000,0.00
2.068077,0.000000,0.00
2.168462,0.000000,0.00
2.227113,0.000000,0.00
2.285206,0.000000,0.00
2.337154,0.000000,0.00
2.397223,0.000000,0.00
2.451729,0.000000,0.00
2.502162,0.000000,0.00
2.554438,0.000000,0.00
2.611845,0.000000,0.00
2.669270,0.000000,0.00
2.721338,0.000000,0.00
2.776788,0.000000,0.00
2.834424,0.000000,0.00
2.885222,0.000000,0.00
2.936815,0.000000,0.00
2.994000,0.000000,0.00
3.051080,0.000000,0.00
3.109426,0.000000,0.00
3.159708,0.000000,0.00
