Timestamp,AverageLatency,MessageRate
0.105391,0.000000,0.00
0.162867,0.000000,0.00
0.220425,0.000000,0.00
0.272833,0.000000,0.00
0.327276,0.000000,0.00
0.384875,0.000000,0.00
0.471541,0.000000,0.00
0.526448,0.000000,0.00
0.579811,0.000000,0.00
0.633993,0.000000,0.00
0.684647,0.000000,0.00
0.742779,0.000000,0.00
0.792883,0.000000,0.00
0.851023,0.000000,0.00
0.909293,0.000000,0.00
0.960094,0.000000,0.00
1.017644,0.000000,0.00
1.069620,0.000000,0.00
1.123151,0.000000,0.00
1.176668,0.000000,0.00
1.234310,0.000000,0.00
1.286318,0.000000,0.00
1.343273,0.000000,0.00
1.401178,0.000000,0.00
1.510139,0.000000,0.00
1.568054,0.000000,0.00
1.618668,0.000000,0.00
1.676213,0.000000,0.00
1.734361,0.000000,0.00
1.793319,0.000000,0.00
1.843897,0.000000,0.00
1.902492,0.000000,0.00
1.959472,0.000000,0.00
2.009950,0.000000,0.00
2.068300,0.000000,0.00
2.171744,0.000000,0.00
2.226379,0.000000,0.00
2.277766,0.000000,0.00
2.329490,0.000000,0.00
2.385164,0.000000,0.00
2.436349,0.000000,0.00
2.492926,0.000000,0.00
2.543758,0.000000,0.00
2.601000,0.000000,0.00
2.652698,0.000000,0.00
2.709498,0.000000,0.00
2.767579,0.000000,0.00
2.817711,0.000000,0.00
2.876125,0.000000,0.00
2.935593,0.000000,0.00
2.992800,0.000000,0.00
3.050618,0.000000,0.00
3.101696,0.000000,0.00
3.159405,0.000000,0.00
3.209567,0.000000,0.00
3.259679,0.000000,0.00
3.312086,0.000000,0.00
3.370516,0.000000,0.00
3.425431,0.000000,0.00
3.476279,0.000000,0.00
3.526721,0.000000,0.00
3.580062,0.000000,0.00
3.631593,0.000000,0.00
3.685185,0.000000,0.00
3.735200,0.000000,0.00
3.786626,0.000000,0.00
3.888271,0.000000,0.00
3.943784,0.000000,0.00
3.995440,0.000000,0.00
4.051763,0.000000,0.00
4.105292,0.000000,0.00
4.155513,0.000000,0.00
4.207471,0.000000,0.00
4.269141,0.000000,0.00
4.335838,0.000000,0.00
4.394857,0.000000,0.00
4.454597,0.000000,0.00
4.524821,0.000000,0.00
4.575058,0.000000,0.00
4.643995,0.000000,0.00
4.701841,0.000000,0.00
4.754057,0.000000,0.00
4.820132,0.000000,0.00
4.874957,0.000000,0.00
4.926042,0.000000,0.00
4.983951,0.000000,0.00
5.042484,0.000000,0.00
5.095910,0.000000,0.00
5.285300,0.000000,0.00
