Timestamp,AverageLatency,MessageRate
0.108805,0.000000,0.00
0.175356,0.000000,0.00
0.233512,0.000000,0.00
0.291845,0.000000,0.00
0.343753,0.000000,0.00
0.399981,0.000000,0.00
0.458156,0.000000,0.00
0.516668,0.000000,0.00
0.575003,0.000000,0.00
0.634127,0.000000,0.00
0.685042,0.000000,0.00
0.742832,0.000000,0.00
0.798088,0.000000,0.00
0.916790,0.000000,0.00
1.024690,0.000000,0.00
1.142089,0.000000,0.00
1.231112,0.000000,0.00
1.283592,0.000000,0.00
1.342774,0.000000,0.00
1.394542,0.000000,0.00
1.452647,0.000000,0.00
1.508359,0.000000,0.00
1.616817,0.000000,0.00
1.674838,0.000000,0.00
1.725397,0.000000,0.00
1.833144,0.000000,0.00
1.883769,0.000000,0.00
1.946028,0.000000,0.00
2.000340,0.000000,0.00
2.058681,0.000000,0.00
2.116820,0.000000,0.00
2.168479,0.000000,0.00
2.225283,0.000000,0.00
2.283903,0.000000,0.00
2.341830,0.000000,0.00
2.449743,0.000000,0.00
2.499939,0.000000,0.00
2.558178,0.000000,0.00
2.608712,0.000000,0.00
2.667016,0.000000,0.00
2.717070,0.000000,0.00
2.774693,0.000000,0.00
2.834017,0.000000,0.00
2.884596,0.000000,0.00
2.936289,0.000000,0.00
2.991507,0.000000,0.00
3.049785,0.000000,0.00
3.099885,0.000000,0.00
3.157957,0.000000,0.00
3.208486,0.000000,0.00
3.266688,0.000000,0.00
3.374818,0.000000,0.00
3.433193,0.000000,0.00
3.491461,0.000000,0.00
3.541890,0.000000,0.00
3.591907,0.000000,0.00
3.649840,0.000000,0.00
3.708369,0.000000,0.00
3.816836,0.000000,0.00
3.874857,0.000000,0.00
3.932882,0.000000,0.00
3.983572,0.000000,0.00
4.041622,0.000000,0.00
4.142225,0.000000,0.00
4.249819,0.000000,0.00
4.349933,0.000000,0.00
4.408763,0.000000,0.00
4.459062,0.000000,0.00
4.516324,0.000000,0.00
4.567412,0.000000,0.00
4.674914,0.000000,0.00
4.732780,0.000000,0.00
4.785375,0.000000,0.00
4.841568,0.000000,0.00
4.943981,0.000000,0.00
4.999921,0.000000,0.00
5.050041,0.000000,0.00
5.102723,0.000000,0.00
5.158134,0.000000,0.00
5.216524,0.000000,0.00
5.274823,0.000000,0.00
5.333292,0.000000,0.00
5.383700,0.000000,0.00
5.441558,0.000000,0.00
5.542023,0.000000,0.00
5.599982,0.000000,0.00
5.650164,0.000000,0.00
5.708793,0.000000,0.00
5.767116,0.000000,0.00
5.825598,0.000000,0.00
5.878374,0.000000,0.00
5.933036,0.000000,0.00
5.983726,0.000000,0.00
6.035367,0.000000,0.00
6.091281,0.000000,0.00
6.141960,0.000000,0.00
6.193640,0.000000,0.00
6.249945,0.000000,0.00
6.308295,0.000000,0.00
6.358351,0.000000,0.00
6.416351,0.000000,0.00
6.467006,0.000000,0.00
6.525202,0.000000,0.00
6.633402,0.000000,0.00
6.691594,0.000000,0.00
6.749984,0.000000,0.00
6.801862,0.000000,0.00
6.858411,0.000000,0.00
6.908875,0.000000,0.00
6.960307,0.000000,0.00
7.016415,0.000000,0.00
7.066998,0.000000,0.00
7.174645,0.000000,0.00
7.232993,0.000000,0.00
7.283577,0.000000,0.00
7.391327,0.000000,0.00
7.441881,0.000000,0.00
7.549741,0.000000,0.00
7.599893,0.000000,0.00
7.649924,0.000000,0.00
7.708578,0.000000,0.00
7.766842,0.000000,0.00
7.874647,0.000000,0.00
7.933063,0.000000,0.00
7.991193,0.000000,0.00
8.044087,0.000000,0.00
8.100203,0.000000,0.00
8.163631,0.000000,0.00
8.217322,0.000000,0.00
8.275114,0.000000,0.00
8.326130,0.000000,0.00
8.384497,0.000000,0.00
8.442356,0.000000,0.00
8.550890,0.000000,0.00
8.609085,0.000000,0.00
8.662213,0.000000,0.00
8.717039,0.000000,0.00
8.767615,0.000000,0.00
8.820181,0.000000,0.00
8.874674,0.000000,0.00
8.925653,0.000000,0.00
8.977313,0.000000,0.00
9.033525,0.000000,0.00
9.085506,0.000000,0.00
9.142114,0.000000,0.00
9.242361,0.000000,0.00
9.300295,0.000000,0.00
9.358795,0.000000,0.00
9.416377,0.000000,0.00
9.590505,0.000000,0.00
