Timestamp,AverageLatency,MessageRate
0.097520,0.000000,0.00
0.148693,0.000000,0.00
0.201691,0.000000,0.00
0.310237,0.000000,0.00
0.361424,0.000000,0.00
0.415217,0.000000,0.00
0.466110,0.000000,0.00
0.524425,0.000000,0.00
0.597479,0.000000,0.00
0.648813,0.000000,0.00
0.707415,0.000000,0.00
0.760970,0.000000,0.00
0.815757,0.000000,0.00
0.866177,0.000000,0.00
0.924772,0.000000,0.00
1.031956,0.000000,0.00
1.082417,0.000000,0.00
1.141212,0.000000,0.00
1.199235,0.000000,0.00
1.257504,0.000000,0.00
1.315275,0.000000,0.00
1.365626,0.000000,0.00
1.474559,0.000000,0.00
1.532581,0.000000,0.00
1.590974,0.000000,0.00
1.649162,0.000000,0.00
1.707289,0.000000,0.00
1.757478,0.000000,0.00
1.815807,0.000000,0.00
1.866261,0.000000,0.00
1.967240,0.000000,0.00
2.024719,0.000000,0.00
2.132243,0.000000,0.00
2.182706,0.000000,0.00
2.240786,0.000000,0.00
2.348846,0.000000,0.00
2.448817,0.000000,0.00
2.507384,0.000000,0.00
2.615974,0.000000,0.00
2.674110,0.000000,0.00
2.724902,0.000000,0.00
2.782436,0.000000,0.00
2.840308,0.000000,0.00
2.890518,0.000000,0.00
2.941366,0.000000,0.00
3.048677,0.000000,0.00
3.099017,0.000000,0.00
3.149670,0.000000,0.00
3.205571,0.000000,0.00
3.261594,0.000000,0.00
3.324659,0.000000,0.00
3.385920,0.000000,0.00
3.446146,0.000000,0.00
3.503192,0.000000,0.00
3.555592,0.000000,0.00
3.608560,0.000000,0.00
3.667430,0.000000,0.00
3.726345,0.000000,0.00
3.777983,0.000000,0.00
3.836834,0.000000,0.00
3.896877,0.000000,0.00
3.947597,0.000000,0.00
4.000289,0.000000,0.00
4.063511,0.000000,0.00
4.122823,0.000000,0.00
4.173681,0.000000,0.00
4.228883,0.000000,0.00
4.393064,0.000000,0.00
