ContactID,ObjectType,StartTime,EndTime,Duration,MaxForce,AverageForce,ContactPointX,ContactPointY,ContactPointZ
0,box,0.7792473,1.179646,0.4003983,0.7211218,0.4880269,42.27767,-12.06575,22.27749
1,box,1.295766,1.320566,0.0248003,0.1292348,0.1292348,74.99863,-39.47285,29.34074
2,box,1.337277,1.838072,0.5007944,0.6523643,0.3018649,64.56963,-40.22648,31.61015
3,box,2.020873,2.179125,0.1582518,0.378911,0.2583561,43.82978,-46.68297,30.70057
4,box,3.937352,4.237382,0.3000298,0.2883404,0.09738582,98.52751,-28.70977,23.01198
5,box,4.254068,4.320749,0.06668091,0.2754134,0.168395,98.57033,-24.48492,20.8178
6,box,4.421031,4.454078,0.03304672,0.2014693,0.1534303,83.90273,-43.69028,33.04937
7,box,4.620852,4.720873,0.1000204,0.09718176,0.07379688,68.15537,-45.22676,39.76547
8,box,4.795941,5.078927,0.2829857,0.6050881,0.443498,102.408,-32.74645,20.55231
9,box,5.096185,5.195994,0.09980965,0.7230109,0.6384227,117.4452,-25.39421,14.73739
10,box,5.253977,5.354146,0.1001692,0.4316571,0.2480535,111.0547,-41.62443,18.2419
11,box,5.379171,5.679209,0.3000374,0.6119075,0.3169825,91.94765,-46.64606,26.15714
12,box,5.696071,6.237254,0.5411835,0.8764519,0.5861123,90.4813,-46.19653,28.75774
13,box,6.695942,7.07909,0.3831482,1.024736,0.7878513,140.8187,-46.27677,17.96114
14,box,7.595561,7.837376,0.2418146,1.347329,1.193224,21.5673,-46.52085,36.91757
15,box,9.754055,10.22093,0.466877,0.3223452,0.2017647,-115.4437,-2.813852,31.00375
16,box,10.45387,10.53749,0.08362007,0.03010637,0.02017663,-114.1474,-5.643858,25.0112
17,box,13.87901,14.23729,0.358284,0.1756376,0.1343617,146.6373,4.094606,31.15742
18,box,14.25399,14.63698,0.3829861,0.1120157,0.06338499,144.692,2.022663,27.03692
19,box,14.92039,14.93753,0.01714516,0.01154577,0.01154577,144.7187,2.152992,24.02063
20,box,14.95394,14.99555,0.04161263,0.02589896,0.0207289,144.1177,1.111298,23.838
21,box,23.35382,23.39537,0.04154778,0.05582272,0.05183775,-109.664,7.807098,29.15373
22,box,23.87902,24.53707,0.6580544,0.316929,0.2064919,-108.8094,8.847623,27.27545
23,box,24.72043,24.79521,0.07478333,0.1195872,0.06669772,-105.8484,3.838156,21.39059
24,box,24.82045,24.93723,0.1167793,0.2213088,0.1425646,-104.2361,8.004271,20.55643
25,box,26.2618,26.75385,0.4920502,0.6277067,0.4350983,89.69037,-46.52492,43.13112
26,box,26.79554,26.9204,0.124855,0.1321366,0.09215304,143.5161,-46.62148,21.41239
27,robot1,29.86201,30.37885,0.5168304,2.524807,1.228305,82.1196,67.54184,-61.02014
28,robot1,30.43685,30.52022,0.08336639,2.583668,1.86324,81.61782,66.01258,-58.44191
29,robot1,30.53691,30.66195,0.1250305,3.122635,2.451274,81.88998,64.65321,-58.43071
30,robot1,30.76193,30.93659,0.1746635,2.819268,2.109672,81.56671,68.76833,-51.49736
31,robot1,31.03665,31.19516,0.1585083,2.818657,1.58393,76.31086,67.113,-50.26841
32,robot1,31.27871,31.3952,0.1164856,3.049652,1.766278,75.55351,66.14173,-47.68393
33,robot1,31.49564,31.52081,0.02517319,0.09404219,0.09404219,75.86342,66.08372,-44.2505
34,robot1,31.59566,31.66177,0.0661087,3.352262,3.110187,72.81361,57.93212,-49.26223
35,robot1,31.71998,31.86189,0.1419029,3.184401,2.185516,71.06655,64.57838,-45.36666
36,robot1,32.03704,32.12013,0.08308792,3.367707,2.558477,71.26411,57.44917,-47.12367
37,robot1,32.2953,32.36166,0.06635284,3.410242,3.398304,72.18161,57.93045,-49.21266
38,robot1,32.42011,32.56192,0.1418076,3.350225,2.409165,71.36286,64.1332,-47.39761
