Timestamp,AverageLatency,MessageRate
0.089626,0.000000,0.00
0.141089,0.000000,0.00
0.192189,0.000000,0.00
0.244256,0.000000,0.00
0.294331,0.000000,0.00
0.350335,0.000000,0.00
0.405808,0.000000,0.00
0.458300,0.000000,0.00
0.509314,0.000000,0.00
0.565679,0.000000,0.00
0.616913,0.000000,0.00
0.673141,0.000000,0.00
0.731430,0.000000,0.00
0.782208,0.000000,0.00
0.889878,0.000000,0.00
0.950610,0.000000,0.00
1.006691,0.000000,0.00
1.065250,0.000000,0.00
1.116299,0.000000,0.00
1.172728,0.000000,0.00
1.231634,0.000000,0.00
1.289987,0.000000,0.00
1.348652,0.000000,0.00
1.406869,0.000000,0.00
1.515376,0.000000,0.00
1.573262,0.000000,0.00
1.631586,0.000000,0.00
1.692638,0.000000,0.00
1.748679,0.000000,0.00
1.856107,0.000000,0.00
1.906795,0.000000,0.00
2.015947,0.000000,0.00
2.072761,0.000000,0.00
2.123632,0.000000,0.00
2.231652,0.000000,0.00
2.289692,0.000000,0.00
2.348858,0.000000,0.00
2.399363,0.000000,0.00
2.457078,0.000000,0.00
2.515631,0.000000,0.00
2.573853,0.000000,0.00
2.631786,0.000000,0.00
2.682577,0.000000,0.00
2.790368,0.000000,0.00
2.848917,0.000000,0.00
2.948993,0.000000,0.00
3.007067,0.000000,0.00
3.115402,0.000000,0.00
3.173255,0.000000,0.00
3.231973,0.000000,0.00
3.282712,0.000000,0.00
3.339667,0.000000,0.00
3.390039,0.000000,0.00
3.449142,0.000000,0.00
3.506833,0.000000,0.00
3.560951,0.000000,0.00
3.615223,0.000000,0.00
3.673249,0.000000,0.00
3.723870,0.000000,0.00
3.831718,0.000000,0.00
3.882309,0.000000,0.00
3.990024,0.000000,0.00
5.082857,0.000000,0.00
5.185753,0.000000,0.00
5.240205,0.000000,0.00
5.294593,0.000000,0.00
5.349188,0.000000,0.00
5.407059,0.000000,0.00
5.507696,0.000000,0.00
5.559189,0.000000,0.00
5.615459,0.000000,0.00
5.673122,0.000000,0.00
5.723894,0.000000,0.00
5.782188,0.000000,0.00
5.890003,0.000000,0.00
5.948962,0.000000,0.00
6.007005,0.000000,0.00
6.115094,0.000000,0.00
6.165879,0.000000,0.00
6.223733,0.000000,0.00
6.331676,0.000000,0.00
6.382333,0.000000,0.00
6.490107,0.000000,0.00
6.549198,0.000000,0.00
6.606815,0.000000,0.00
6.715024,0.000000,0.00
6.773388,0.000000,0.00
6.831731,0.000000,0.00
6.889856,0.000000,0.00
6.948834,0.000000,0.00
7.056100,0.000000,0.00
7.114967,0.000000,0.00
7.173008,0.000000,0.00
7.231339,0.000000,0.00
7.290082,0.000000,0.00
7.348812,0.000000,0.00
7.410734,0.000000,0.00
7.465067,0.000000,0.00
7.572886,0.000000,0.00
7.631196,0.000000,0.00
7.689451,0.000000,0.00
7.748517,0.000000,0.00
7.798640,0.000000,0.00
7.855820,0.000000,0.00
7.906560,0.000000,0.00
8.014606,0.000000,0.00
8.065461,0.000000,0.00
8.123090,0.000000,0.00
8.231288,0.000000,0.00
8.285294,0.000000,0.00
8.339197,0.000000,0.00
8.389405,0.000000,0.00
8.448249,0.000000,0.00
8.548655,0.000000,0.00
8.606170,0.000000,0.00
8.714873,0.000000,0.00
8.772538,0.000000,0.00
8.823809,0.000000,0.00
8.881574,0.000000,0.00
8.931595,0.000000,0.00
8.989428,0.000000,0.00
9.048427,0.000000,0.00
9.156216,0.000000,0.00
9.210694,0.000000,0.00
9.265005,0.000000,0.00
9.365246,0.000000,0.00
9.472526,0.000000,0.00
9.531294,0.000000,0.00
9.589084,0.000000,0.00
9.639088,0.000000,0.00
9.689225,0.000000,0.00
9.739506,0.000000,0.00
9.789561,0.000000,0.00
9.848737,0.000000,0.00
9.955871,0.000000,0.00
10.006430,0.000000,0.00
10.114610,0.000000,0.00
10.176900,0.000000,0.00
10.231340,0.000000,0.00
10.289400,0.000000,0.00
10.348490,0.000000,0.00
10.406920,0.000000,0.00
10.514880,0.000000,0.00
10.572490,0.000000,0.00
10.623060,0.000000,0.00
10.681480,0.000000,0.00
10.789310,0.000000,0.00
10.848570,0.000000,0.00
10.958220,0.000000,0.00
11.014460,0.000000,0.00
11.065080,0.000000,0.00
11.172470,0.000000,0.00
11.231140,0.000000,0.00
11.281850,0.000000,0.00
11.389400,0.000000,0.00
11.448240,0.000000,0.00
11.548520,0.000000,0.00
11.606530,0.000000,0.00
11.714430,0.000000,0.00
11.772490,0.000000,0.00
11.823270,0.000000,0.00
11.931110,0.000000,0.00
11.989430,0.000000,0.00
12.048370,0.000000,0.00
12.156440,0.000000,0.00
12.214800,0.000000,0.00
12.272900,0.000000,0.00
12.323640,0.000000,0.00
12.431230,0.000000,0.00
12.489300,0.000000,0.00
12.548100,0.000000,0.00
12.648260,0.000000,0.00
12.706560,0.000000,0.00
12.814910,0.000000,0.00
12.872820,0.000000,0.00
12.923630,0.000000,0.00
12.981910,0.000000,0.00
13.089380,0.000000,0.00
13.139540,0.000000,0.00
13.197980,0.000000,0.00
13.256030,0.000000,0.00
13.314950,0.000000,0.00
13.378300,0.000000,0.00
13.431690,0.000000,0.00
13.489460,0.000000,0.00
13.548420,0.000000,0.00
13.655750,0.000000,0.00
13.706460,0.000000,0.00
13.814590,0.000000,0.00
13.873290,0.000000,0.00
13.931240,0.000000,0.00
13.989110,0.000000,0.00
14.048280,0.000000,0.00
14.155780,0.000000,0.00
14.206550,0.000000,0.00
14.314680,0.000000,0.00
14.372760,0.000000,0.00
14.431720,0.000000,0.00
14.489370,0.000000,0.00
14.539530,0.000000,0.00
14.597790,0.000000,0.00
14.648380,0.000000,0.00
14.706230,0.000000,0.00
14.756320,0.000000,0.00
14.815210,0.000000,0.00
14.872540,0.000000,0.00
14.931130,0.000000,0.00
14.989100,0.000000,0.00
15.039230,0.000000,0.00
15.097450,0.000000,0.00
15.148250,0.000000,0.00
15.206590,0.000000,0.00
15.264850,0.000000,0.00
15.364930,0.000000,0.00
15.472400,0.000000,0.00
15.523030,0.000000,0.00
15.581430,0.000000,0.00
15.689290,0.000000,0.00
15.748500,0.000000,0.00
15.806110,0.000000,0.00
15.906960,0.000000,0.00
15.964900,0.000000,0.00
16.072370,0.000000,0.00
16.123260,0.000000,0.00
16.181370,0.000000,0.00
16.288920,0.000000,0.00
16.339380,0.000000,0.00
16.397760,0.000000,0.00
16.448470,0.000000,0.00
16.506100,0.000000,0.00
16.614440,0.000000,0.00
16.672410,0.000000,0.00
16.731170,0.000000,0.00
16.789270,0.000000,0.00
16.848130,0.000000,0.00
16.948330,0.000000,0.00
17.006010,0.000000,0.00
17.056650,0.000000,0.00
17.114460,0.000000,0.00
17.172370,0.000000,0.00
17.222920,0.000000,0.00
17.281720,0.000000,0.00
17.338800,0.000000,0.00
17.389140,0.000000,0.00
17.448120,0.000000,0.00
17.548680,0.000000,0.00
17.606410,0.000000,0.00
