TaskTime,BoxRotation,RotationError,BoxPosX,BoxPosY,BoxPosZ,BoxAngVelX,BoxAngVelY,BoxAngVelZ,Robot1PosX,Robot1PosY,Robot1PosZ,Robot2PosX,Robot2PosY,Robot2PosZ,Robot1Speed,Robot2Speed,RobotDistanceDiff,HapticPosX,HapticPosY,HapticPosZ,HapticForceX,HapticForceY,HapticForceZ,ForceMagnitude,IsInContact,ContactType,ContactDuration,Phase,CumulativeError,StabilityMetric
0.02755451,-3.306091,3.306091,-0.1163277,0.1003591,0.9614335,-0.3362597,0.06772625,-0.02818683,0.6769224,0.005441613,0.7096241,-0.7168423,0.005434267,0.631732,0.07375115,0.09265837,1.39594,-0.1150818,0.1011558,0.9496136,-0.009860778,-0.002841325,0.1625295,0.1628531,1,box,0.02755451,stable_contact,0.02978553,0.0254689
0.05246449,-3.248077,3.248077,-0.1167116,0.1003826,0.9629191,-0.5537341,0.1038737,-0.01391433,0.6768103,0.005490862,0.7106908,-0.7170082,0.005309761,0.6336417,0.06047591,0.09575006,1.395947,-0.1152578,0.1010321,0.9512097,-0.01070748,-0.005921882,0.1779742,0.1783944,1,box,0.05246449,stable_contact,0.05852028,0.02686187
0.07701492,-3.191193,3.191193,-0.1169061,0.1003992,0.964503,-0.5747795,0.09061991,-0.01260223,0.6767157,0.005527087,0.7114857,-0.7172024,0.005104609,0.6359156,0.04986596,0.1094708,1.395965,-0.1154374,0.1009222,0.9527832,-0.01246384,-0.009864945,0.2093882,0.2099907,1,box,0.07701492,stable_contact,0.08624305,0.02986349
0.102232,-3.136353,3.136353,-0.117152,0.1004857,0.966,-0.7049329,0.1298649,-0.01422312,0.6766136,0.005531967,0.712338,-0.7173791,0.004836597,0.6380773,0.04019153,0.1013005,1.395969,-0.1156148,0.1008333,0.9542751,-0.01305895,-0.01351121,0.2208525,0.2216505,1,box,0.102232,stable_contact,0.1129984,0.03087714
0.1271315,-3.037445,3.037445,-0.1173804,0.1003849,0.9686354,-0.6656171,0.1139235,-0.01207935,0.6764483,0.005551122,0.7135435,-0.7176513,0.0047566,0.6420605,0.03451415,0.1006866,1.395931,-0.1158014,0.1007616,0.9557862,-0.01423405,-0.01521646,0.248881,0.2497516,1,box,0.1271315,stable_contact,0.1384284,0.03341251
0.1521225,-2.956146,2.956146,-0.1174812,0.1004349,0.9703385,-0.7348716,0.1195043,-0.01247419,0.6763662,0.005544379,0.7141844,-0.71777,0.004675105,0.6439841,0.03952051,0.1027796,1.395903,-0.1159854,0.1007043,0.9572641,-0.0137985,-0.015807,0.2452323,0.2461283,1,box,0.1521225,stable_contact,0.162719,0.03282434
0.1765957,-2.92218,2.92218,-0.1175192,0.1004586,0.9715048,-0.5832183,0.09185696,-0.009840239,0.6762599,0.005537711,0.7150011,-0.717907,0.004815005,0.6456652,0.04134907,0.08655832,1.39589,-0.116172,0.1006549,0.9588075,-0.01310031,-0.01427964,0.2373565,0.2381462,1,box,0.1765957,stable_contact,0.1863042,0.03193179
0.2017927,-2.884613,2.884613,-0.1175366,0.1004598,0.9726605,-0.7520093,0.1110332,-0.01121318,0.6761523,0.005498938,0.7158412,-0.7180406,0.005043991,0.6473234,0.04797271,0.08783246,1.395876,-0.116353,0.1006146,0.9603851,-0.01212503,-0.01467163,0.222072,0.2228862,1,box,0.2017927,stable_contact,0.2091712,0.03030143
0.2270985,-2.762573,2.762573,-0.1175038,0.1004431,0.9758051,-0.5446961,0.1219786,-0.004457533,0.6759213,0.005416758,0.7178029,-0.7183491,0.00545314,0.6510295,0.04875918,0.1072987,1.395868,-0.1165221,0.1005824,0.9619801,-0.01076606,-0.0136279,0.2044578,0.2051941,1,box,0.2270985,stable_contact,0.2306284,0.02819322
0.2523155,-2.708466,2.708466,-0.1173913,0.1004586,0.9774116,-0.6914703,0.1415793,-0.006054322,0.6758088,0.005349599,0.718852,-0.7185314,0.005575329,0.6531961,0.05209417,0.1104161,1.395885,-0.1166713,0.1005567,0.9635811,-0.01034477,-0.0133703,0.198849,0.1995663,1,box,0.2523155,stable_contact,0.251277,0.02748015
