Timestamp,AverageLatency,MessageRate
0.140491,0.000000,0.00
0.213901,0.000000,0.00
0.267058,0.000000,0.00
0.318371,0.000000,0.00
0.374760,0.000000,0.00
0.425252,0.000000,0.00
0.484370,0.000000,0.00
0.541691,0.000000,0.00
0.599932,0.000000,0.00
0.651243,0.000000,0.00
0.757414,0.000000,0.00
0.816790,0.000000,0.00
0.868472,0.000000,0.00
0.923739,0.000000,0.00
0.973767,0.000000,0.00
1.024313,0.000000,0.00
1.084198,0.000000,0.00
1.141167,0.000000,0.00
1.199368,0.000000,0.00
1.249782,0.000000,0.00
1.358017,0.000000,0.00
1.416651,0.000000,0.00
1.474910,0.000000,0.00
1.533202,0.000000,0.00
1.640904,0.000000,0.00
1.691402,0.000000,0.00
1.799657,0.000000,0.00
1.858134,0.000000,0.00
1.915895,0.000000,0.00
1.966320,0.000000,0.00
2.074399,0.000000,0.00
2.124458,0.000000,0.00
2.183353,0.000000,0.00
2.240851,0.000000,0.00
2.291281,0.000000,0.00
2.349816,0.000000,0.00
2.402599,0.000000,0.00
2.457935,0.000000,0.00
2.516373,0.000000,0.00
2.573782,0.000000,0.00
2.624242,0.000000,0.00
2.674467,0.000000,0.00
2.733145,0.000000,0.00
2.840698,0.000000,0.00
2.891279,0.000000,0.00
2.949858,0.000000,0.00
3.057719,0.000000,0.00
3.116147,0.000000,0.00
3.166620,0.000000,0.00
3.224310,0.000000,0.00
3.274806,0.000000,0.00
3.332922,0.000000,0.00
3.440866,0.000000,0.00
3.491270,0.000000,0.00
3.599215,0.000000,0.00
3.650079,0.000000,0.00
3.707955,0.000000,0.00
3.816300,0.000000,0.00
3.874011,0.000000,0.00
3.933217,0.000000,0.00
3.991251,0.000000,0.00
4.095915,0.000000,0.00
4.149838,0.000000,0.00
4.207795,0.000000,0.00
4.308186,0.000000,0.00
4.416492,0.000000,0.00
4.474574,0.000000,0.00
4.533109,0.000000,0.00
4.590872,0.000000,0.00
4.691247,0.000000,0.00
4.741249,0.000000,0.00
4.799819,0.000000,0.00
4.858001,0.000000,0.00
4.915875,0.000000,0.00
4.966285,0.000000,0.00
5.016648,0.000000,0.00
5.074123,0.000000,0.00
5.124290,0.000000,0.00
5.174473,0.000000,0.00
5.233146,0.000000,0.00
5.291137,0.000000,0.00
5.399625,0.000000,0.00
5.457642,0.000000,0.00
5.516248,0.000000,0.00
5.574286,0.000000,0.00
5.624472,0.000000,0.00
5.682820,0.000000,0.00
5.740932,0.000000,0.00
5.799468,0.000000,0.00
5.857512,0.000000,0.00
5.911115,0.000000,0.00
5.966197,0.000000,0.00
6.024241,0.000000,0.00
6.082122,0.000000,0.00
6.132970,0.000000,0.00
6.240471,0.000000,0.00
6.291052,0.000000,0.00
6.341271,0.000000,0.00
6.399623,0.000000,0.00
6.457661,0.000000,0.00
6.516112,0.000000,0.00
6.574208,0.000000,0.00
6.624208,0.000000,0.00
6.674311,0.000000,0.00
6.733030,0.000000,0.00
6.791109,0.000000,0.00
6.849980,0.000000,0.00
6.907819,0.000000,0.00
7.016003,0.000000,0.00
7.074433,0.000000,0.00
7.133177,0.000000,0.00
7.191259,0.000000,0.00
7.249571,0.000000,0.00
7.357003,0.000000,0.00
7.415968,0.000000,0.00
7.466425,0.000000,0.00
7.574577,0.000000,0.00
7.633209,0.000000,0.00
7.691373,0.000000,0.00
7.749613,0.000000,0.00
7.808017,0.000000,0.00
7.870266,0.000000,0.00
7.924111,0.000000,0.00
7.974741,0.000000,0.00
8.033135,0.000000,0.00
8.090689,0.000000,0.00
8.140843,0.000000,0.00
8.199336,0.000000,0.00
8.257609,0.000000,0.00
8.308282,0.000000,0.00
8.366577,0.000000,0.00
8.424085,0.000000,0.00
8.482355,0.000000,0.00
8.532874,0.000000,0.00
8.640416,0.000000,0.00
8.691146,0.000000,0.00
8.799125,0.000000,0.00
8.849599,0.000000,0.00
8.957169,0.000000,0.00
9.007627,0.000000,0.00
9.057704,0.000000,0.00
9.115978,0.000000,0.00
9.174670,0.000000,0.00
9.232923,0.000000,0.00
9.291018,0.000000,0.00
9.341083,0.000000,0.00
9.399508,0.000000,0.00
9.457426,0.000000,0.00
9.516003,0.000000,0.00
9.574087,0.000000,0.00
9.624201,0.000000,0.00
9.682384,0.000000,0.00
9.732830,0.000000,0.00
9.840759,0.000000,0.00
9.899754,0.000000,0.00
9.957096,0.000000,0.00
10.007690,0.000000,0.00
10.057780,0.000000,0.00
10.115880,0.000000,0.00
10.166360,0.000000,0.00
10.274350,0.000000,0.00
10.332800,0.000000,0.00
10.441040,0.000000,0.00
10.498970,0.000000,0.00
10.549440,0.000000,0.00
10.599580,0.000000,0.00
10.657770,0.000000,0.00
10.715840,0.000000,0.00
10.774150,0.000000,0.00
10.833140,0.000000,0.00
10.890960,0.000000,0.00
10.949520,0.000000,0.00
11.007530,0.000000,0.00
11.066130,0.000000,0.00
11.123680,0.000000,0.00
11.182580,0.000000,0.00
11.240900,0.000000,0.00
11.299410,0.000000,0.00
11.357530,0.000000,0.00
11.415940,0.000000,0.00
11.474080,0.000000,0.00
11.532800,0.000000,0.00
11.640820,0.000000,0.00
11.699290,0.000000,0.00
11.757420,0.000000,0.00
11.808130,0.000000,0.00
11.866220,0.000000,0.00
11.916360,0.000000,0.00
11.974070,0.000000,0.00
12.024660,0.000000,0.00
12.082450,0.000000,0.00
12.133180,0.000000,0.00
12.233180,0.000000,0.00
12.291240,0.000000,0.00
12.399400,0.000000,0.00
12.457480,0.000000,0.00
12.515710,0.000000,0.00
12.566150,0.000000,0.00
12.673880,0.000000,0.00
12.723890,0.000000,0.00
12.774360,0.000000,0.00
12.832820,0.000000,0.00
12.933180,0.000000,0.00
12.990630,0.000000,0.00
13.091100,0.000000,0.00
13.199340,0.000000,0.00
13.257790,0.000000,0.00
13.315840,0.000000,0.00
13.366220,0.000000,0.00
13.423860,0.000000,0.00
13.473930,0.000000,0.00
13.524170,0.000000,0.00
13.582500,0.000000,0.00
13.640750,0.000000,0.00
13.699090,0.000000,0.00
13.757360,0.000000,0.00
13.815960,0.000000,0.00
13.874180,0.000000,0.00
13.932780,0.000000,0.00
14.040840,0.000000,0.00
14.099020,0.000000,0.00
14.157430,0.000000,0.00
14.216130,0.000000,0.00
14.274600,0.000000,0.00
14.332890,0.000000,0.00
14.433430,0.000000,0.00
14.491190,0.000000,0.00
14.549640,0.000000,0.00
14.650190,0.000000,0.00
14.707900,0.000000,0.00
14.765500,0.000000,0.00
14.816170,0.000000,0.00
14.874090,0.000000,0.00
14.927750,0.000000,0.00
14.982730,0.000000,0.00
15.040870,0.000000,0.00
15.091300,0.000000,0.00
15.149890,0.000000,0.00
15.207450,0.000000,0.00
15.257670,0.000000,0.00
15.316030,0.000000,0.00
15.374090,0.000000,0.00
