Timestamp,AverageLatency,MessageRate
0.166563,0.000000,0.00
0.223737,0.000000,0.00
0.287844,0.000000,0.00
0.338926,0.000000,0.00
0.397440,0.000000,0.00
0.458447,0.000000,0.00
0.516443,0.000000,0.00
0.572169,0.000000,0.00
0.630564,0.000000,0.00
0.683531,0.000000,0.00
0.738515,0.000000,0.00
0.789123,0.000000,0.00
0.839544,0.000000,0.00
0.897396,0.000000,0.00
0.949307,0.000000,0.00
1.000943,0.000000,0.00
1.056517,0.000000,0.00
1.109956,0.000000,0.00
1.164552,0.000000,0.00
1.214637,0.000000,0.00
1.272944,0.000000,0.00
1.344052,0.000000,0.00
1.447138,0.000000,0.00
1.497486,0.000000,0.00
1.547504,0.000000,0.00
1.597587,0.000000,0.00
1.650390,0.000000,0.00
1.706036,0.000000,0.00
1.757168,0.000000,0.00
1.817414,0.000000,0.00
1.872431,0.000000,0.00
1.925129,0.000000,0.00
1.980997,0.000000,0.00
2.031084,0.000000,0.00
2.089278,0.000000,0.00
2.141755,0.000000,0.00
2.197561,0.000000,0.00
2.247801,0.000000,0.00
2.308757,0.000000,0.00
2.364600,0.000000,0.00
2.422695,0.000000,0.00
2.475435,0.000000,0.00
2.530917,0.000000,0.00
2.589343,0.000000,0.00
2.642127,0.000000,0.00
2.697430,0.000000,0.00
2.756014,0.000000,0.00
2.817530,0.000000,0.00
2.872336,0.000000,0.00
2.927891,0.000000,0.00
2.981729,0.000000,0.00
3.041906,0.000000,0.00
3.098644,0.000000,0.00
3.152186,0.000000,0.00
3.207541,0.000000,0.00
3.261818,0.000000,0.00
3.316723,0.000000,0.00
3.375747,0.000000,0.00
3.431699,0.000000,0.00
3.485069,0.000000,0.00
3.538810,0.000000,0.00
3.594812,0.000000,0.00
3.648599,0.000000,0.00
3.705999,0.000000,0.00
3.756693,0.000000,0.00
3.815451,0.000000,0.00
3.876527,0.000000,0.00
3.930949,0.000000,0.00
3.985344,0.000000,0.00
4.038986,0.000000,0.00
4.093161,0.000000,0.00
4.148051,0.000000,0.00
4.206004,0.000000,0.00
4.265918,0.000000,0.00
4.325387,0.000000,0.00
4.380764,0.000000,0.00
4.438670,0.000000,0.00
4.492073,0.000000,0.00
4.547965,0.000000,0.00
4.606004,0.000000,0.00
4.667202,0.000000,0.00
4.722484,0.000000,0.00
4.834174,0.000000,0.00
4.958242,0.000000,0.00
