TaskTime,BoxRotation,RotationError,BoxPosX,BoxPosY,BoxPosZ,BoxAngVelX,BoxAngVelY,BoxAngVelZ,Robot1PosX,Robot1PosY,Robot1PosZ,Robot2PosX,Robot2PosY,Robot2PosZ,Robot1Speed,Robot2Speed,RobotDistanceDiff,HapticPosX,HapticPosY,HapticPosZ,HapticForceX,HapticForceY,HapticForceZ,ForceMagnitude,IsInContact,ContactType,ContactDuration,Phase,CumulativeError,StabilityMetric
0.02359724,-9.312176E-07,9.312176E-07,-1.598284E-08,0.09999995,0.3999998,0,0,0,0.6999943,0.005574785,0.001951877,-0.6999962,0.00557439,0.001944259,0.001779252,0.001393004,1.399991,0.0003182366,0.1009066,0.3974434,2.509213E-07,2.870204,2.509213E-07,2.870204,0,,0,initialization,9.312176E-07,0.2870204
0.04860294,-9.312176E-07,9.312176E-07,-1.598284E-08,0.09999995,0.3999998,0,0,0,0.6999943,0.005574778,0.001951879,-0.6999962,0.005574383,0.001944272,0.001779051,0.001392629,1.399991,0.0002558045,0.1007287,0.3979449,2.517372E-07,2.879538,2.517372E-07,2.879538,0,,0,initialization,9.312176E-07,0.2879538
0.0738036,-9.312176E-07,9.312176E-07,-1.598284E-08,0.09999995,0.3999998,0,0,0,0.6999943,0.005574785,0.001951859,-0.6999964,0.005574383,0.001944259,0.001779884,0.001393265,1.399991,0.0002049357,0.1005837,0.3983535,2.521791E-07,2.884593,2.521791E-07,2.884593,0,,0,initialization,9.312176E-07,0.2884592
0.09901971,-9.312176E-07,9.312176E-07,-1.598284E-08,0.09999995,0.3999998,0,0,0,0.6999944,0.005574785,0.001951859,-0.6999962,0.005574368,0.001944255,0.00178023,0.001393102,1.399991,0.0001642294,0.1004677,0.3986805,2.530539E-07,2.8946,2.530539E-07,2.8946,0,,0,initialization,9.312176E-07,0.28946
0.1237719,-9.312176E-07,9.312176E-07,-1.598284E-08,0.09999995,0.3999998,0,0,0,0.6999943,0.005574778,0.001951868,-0.6999964,0.005574383,0.001944251,0.001779055,0.001394119,1.399991,0.0001316406,0.1003748,0.3989424,2.533229E-07,2.897676,2.533229E-07,2.897676,0,,0,initialization,9.312176E-07,0.2897676
0.1487204,-9.312176E-07,9.312176E-07,-1.598284E-08,0.09999995,0.3999998,0,0,0,0.6999944,0.00557477,0.001951871,-0.6999963,0.00557439,0.001944255,0.00177886,0.001392909,1.399991,0.0001053177,0.1002997,0.3991538,2.536584E-07,2.901514,2.536584E-07,2.901514,0,,0,initialization,9.312176E-07,0.2901514
0.1736253,-9.312176E-07,9.312176E-07,-1.598284E-08,0.09999995,0.3999998,0,0,0,0.6999944,0.005574785,0.001951866,-0.6999962,0.00557439,0.001944265,0.001780018,0.001392553,1.399991,8.338317E-05,0.1002372,0.39933,2.538474E-07,2.903676,2.538474E-07,2.903676,0,,0,initialization,9.312176E-07,0.2903675
0.1989764,-9.312176E-07,9.312176E-07,-1.598284E-08,0.09999995,0.3999998,0,0,0,0.6999943,0.005574778,0.001951873,-0.6999962,0.005574375,0.001944248,0.001779261,0.001393379,1.399991,6.724894E-05,0.1001913,0.3994595,2.542097E-07,2.90782,2.542097E-07,2.90782,0,,0,initialization,9.312176E-07,0.2907819
0.2247239,-9.312176E-07,9.312176E-07,-1.598284E-08,0.09999995,0.3999998,0,0,0,0.6999943,0.005574785,0.001951857,-0.6999964,0.005574353,0.001944248,0.001779719,0.001392946,1.399991,5.339086E-05,0.1001517,0.3995708,2.543214E-07,2.909098,2.543214E-07,2.909098,0,,0,initialization,9.312176E-07,0.2909098
0.2495002,-9.312176E-07,9.312176E-07,-1.598284E-08,0.09999995,0.3999998,0,0,0,0.6999943,0.005574785,0.001951871,-0.6999962,0.005574383,0.00194427,0.001779426,0.001392346,1.399991,4.131347E-05,0.1001173,0.3996679,2.544644E-07,2.910733,2.544644E-07,2.910733,0,,0,initialization,9.312176E-07,0.2910734
0.3791578,-9.312176E-07,9.312176E-07,-1.598284E-08,0.09999995,0.3999998,0,0,0,0.6999944,0.005574785,0.00195186,-0.6999964,0.005574383,0.001944248,0.001779807,0.001394349,1.399991,3.328174E-05,0.1000944,0.3997324,2.546713E-07,2.9131,2.546713E-07,2.9131,0,,0,initialization,9.312176E-07,0.29131
0.4940307,-9.312176E-07,9.312176E-07,-1.598284E-08,0.09999995,0.3999998,0,0,0,0.6999943,0.005574793,0.001951879,-0.6999962,0.005574383,0.001944248,0.001779649,0.001393074,1.399991,1.214817E-05,0.1000343,0.3999021,2.548883E-07,2.915583,2.548883E-07,2.915583,0,,0,initialization,9.312177E-07,0.2915583
0.609529,-9.312176E-07,9.312176E-07,-1.598284E-08,0.09999995,0.3999998,0,0,0,0.6999943,0.0055748,0.001951864,-0.6999963,0.005574398,0.001944251,0.001780472,0.001392285,1.399991,4.23938E-06,0.1000119,0.3999656,2.549693E-07,2.916509,2.549693E-07,2.916509,0,,0,initialization,9.312177E-07,0.2916509
0.7263325,-9.312176E-07,9.312176E-07,-1.598284E-08,0.09999995,0.3999998,0,0,0,0.6999944,0.005574763,0.001951871,-0.6999964,0.005574375,0.001944265,0.00177846,0.001393524,1.399991,1.452863E-06,0.100004,0.399988,2.549977E-07,2.916834,2.549977E-07,2.916834,0,,0,initialization,9.312177E-07,0.2916834
0.8000851,-9.312176E-07,9.312176E-07,-1.598284E-08,0.09999995,0.3999998,0,0,0,0.6999944,0.005574755,0.001951864,-0.6999963,0.005574383,0.001944249,0.001779187,0.001393254,1.399991,4.805624E-07,0.1000013,0.3999957,2.550075E-07,2.916946,2.550075E-07,2.916946,0,,0,initialization,9.312178E-07,0.2916946
