Timestamp,PosX,PosY,PosZ,RotX,RotY,RotZ,VelX,VelY,VelZ,Speed,AngularSpeed,DistanceFromStart,TotalDistance
3.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.180,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
3.280,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.280,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
3.389,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.389,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
3.497,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.497,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
3.597,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.597,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
3.705,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.705,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
3.814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.814,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
3.922,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.922,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
4.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.022,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
4.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.122,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
4.231,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.231,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
4.339,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.339,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
4.447,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.447,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
4.547,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.547,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
4.655,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.655,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
4.755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.755,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
4.864,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.864,0.000,0.003,0.009,1.158,359.966,359.943,0.000,-0.003,0.100,0.100,0.963,0.009,0.011
4.964,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.964,0.000,0.004,0.035,359.926,358.558,0.116,-0.004,0.006,0.253,0.253,18.789,0.035,0.036
5.072,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5.072,-0.001,0.004,0.056,359.912,356.624,0.087,-0.009,-0.003,0.209,0.209,19.342,0.056,0.057
5.172,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5.172,-0.002,0.004,0.063,1.223,356.138,359.914,-0.005,-0.002,0.075,0.076,14.086,0.063,0.065
5.280,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5.280,-0.002,0.003,0.064,1.067,356.736,359.959,0.000,-0.001,0.010,0.010,6.193,0.064,0.065
5.389,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5.389,-0.002,0.004,0.074,359.461,357.540,0.004,-0.003,0.004,0.100,0.100,17.971,0.074,0.075
5.489,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5.489,0.000,0.005,0.127,0.270,354.026,359.819,0.021,0.014,0.529,0.530,36.105,0.127,0.129
5.597,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5.597,-0.003,0.004,0.162,1.255,349.247,359.992,-0.026,-0.016,0.351,0.352,48.821,0.162,0.164
5.706,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5.706,-0.006,0.003,0.180,1.075,349.552,0.235,-0.032,-0.003,0.175,0.178,4.294,0.180,0.181
5.814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5.814,-0.006,0.003,0.183,0.957,348.679,359.856,-0.007,-0.003,0.040,0.040,9.595,0.184,0.186
5.922,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5.922,-0.007,0.003,0.187,1.185,347.664,0.029,-0.006,0.005,0.038,0.039,10.546,0.187,0.189
6.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.022,-0.010,0.003,0.200,359.946,344.814,359.799,-0.031,-0.001,0.126,0.130,31.163,0.200,0.202
6.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.131,-0.011,0.003,0.202,1.198,345.145,0.019,-0.005,0.000,0.021,0.022,13.133,0.202,0.205
6.239,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.239,-0.010,0.003,0.202,1.043,345.719,-0.001,0.002,-0.001,-0.001,0.003,5.948,0.202,0.205
6.347,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.347,-0.014,0.004,0.216,1.396,343.887,0.060,-0.036,0.008,0.140,0.145,18.662,0.216,0.219
6.447,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.447,-0.026,0.004,0.253,357.226,337.573,0.358,-0.124,-0.001,0.374,0.394,75.729,0.255,0.259
6.555,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.555,-0.030,0.004,0.261,1.264,335.528,0.007,-0.039,-0.003,0.082,0.090,45.406,0.263,0.268
6.656,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.656,-0.031,0.004,0.262,1.183,335.539,0.003,-0.002,0.000,0.005,0.006,0.821,0.264,0.268
6.763,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.763,-0.032,0.004,0.265,1.260,335.765,359.989,-0.011,0.002,0.027,0.029,2.393,0.267,0.271
6.864,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.864,-0.043,0.004,0.290,0.145,331.064,0.163,-0.113,0.003,0.251,0.275,48.342,0.293,0.299
6.964,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6.964,-0.052,0.003,0.304,1.120,327.649,0.280,-0.086,-0.008,0.143,0.167,35.535,0.308,0.315
7.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7.064,-0.054,0.003,0.307,1.099,326.716,0.138,-0.020,0.000,0.032,0.038,9.443,0.312,0.319
7.164,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
